ID,deal_title,year,month,day,deal_amount,currency,investor,is_lead,target,target_hq_city,target_hq_country,target_hq_state,target_url,target_year_founded,mapped_profile_id,mapped_profile_type,mapped_profile_name,text_url
977.0,equity funding,2017,04,19,5200000.0,GBP,Scottish Enterprise,1,Synpromics Ltd,Edinburgh,United Kingdom,Scotland,,,1082598,company,Synpromics Ltd,http://www.finsmes.com/2017/04/synpromics-completes-5-2m-funding-round.html
977.0,equity funding,2017,04,19,5200000.0,GBP,Calculus Capital,1,Synpromics Ltd,Edinburgh,United Kingdom,Scotland,,,1082598,company,Synpromics Ltd,http://www.finsmes.com/2017/04/synpromics-completes-5-2m-funding-round.html
977.0,equity funding,2017,04,19,5200000.0,GBP,Scottish Investment Bank,1,Synpromics Ltd,Edinburgh,United Kingdom,Scotland,,,1082598,company,Synpromics Ltd,http://www.finsmes.com/2017/04/synpromics-completes-5-2m-funding-round.html
978.0,equity funding,2017,04,19,,USD,Vendis Capital Management,1,Fatboy,Den Burg,Netherlands,North Holland,,2002,New,,,http://www.finsmes.com/2017/04/fatboy-receives-investment-from-vendis-capital.html
979.0,equity funding,2017,04,19,500000000.0,JPY,Sumitomo Corporation Equity Asia,0,Farmnote,Sapporo,Japan,Hokkaido,,,1083619,company,Farmnote,http://www.finsmes.com/2017/04/farmnote-holdings-raises-500m-yen-in-funding.html
979.0,equity funding,2017,04,19,500000000.0,JPY,Norinchukin Bank,0,Farmnote,Sapporo,Japan,Hokkaido,,,1083619,company,Farmnote,http://www.finsmes.com/2017/04/farmnote-holdings-raises-500m-yen-in-funding.html
979.0,equity funding,2017,04,19,500000000.0,JPY,National Federation of Agricultural Cooperative Associations,0,Farmnote,Sapporo,Japan,Hokkaido,,,1083619,company,Farmnote,http://www.finsmes.com/2017/04/farmnote-holdings-raises-500m-yen-in-funding.html
979.0,equity funding,2017,04,19,500000000.0,JPY,Innovation Network Corporation Of Japan,0,Farmnote,Sapporo,Japan,Hokkaido,,,1083619,company,Farmnote,http://www.finsmes.com/2017/04/farmnote-holdings-raises-500m-yen-in-funding.html
981.0,equity funding,2017,04,19,16500000.0,USD,Softbank,1,Dome9 Security,Mountain View,United States,California,,,New,,,http://www.finsmes.com/2017/04/dome9-security-closes-16-5m-in-series-c-funding.html
982.0,equity funding,2017,04,19,,USD,Hastings Equity Partners,1,FloCap Injection Services,Midland,United States,Texas,,2014,9399,company,Warren Equipment Company,http://www.finsmes.com/2017/04/flocap-injection-services-receives-investment-from-hastings-equity-partners.html
983.0,equity funding,2017,04,19,,USD,Hedgewood,0,Alert Labs Inc.,Kitchener,Canada,Ontario,,,140250,company,Desire2Learn Inc,http://www.finsmes.com/2017/04/alert-labs-raises-funding-round-of-undisclosed-amount.html
983.0,equity funding,2017,04,19,,USD,Garage Capital,0,Alert Labs Inc.,Kitchener,Canada,Ontario,,,140250,company,Desire2Learn Inc,http://www.finsmes.com/2017/04/alert-labs-raises-funding-round-of-undisclosed-amount.html
983.0,equity funding,2017,04,19,,USD,BDC Capital Corporation,0,Alert Labs Inc.,Kitchener,Canada,Ontario,,,140250,company,Desire2Learn Inc,http://www.finsmes.com/2017/04/alert-labs-raises-funding-round-of-undisclosed-amount.html
983.0,equity funding,2017,04,19,,USD,Intact Financial Corporation,0,Alert Labs Inc.,Kitchener,Canada,Ontario,,,140250,company,Desire2Learn Inc,http://www.finsmes.com/2017/04/alert-labs-raises-funding-round-of-undisclosed-amount.html
984.0,equity funding,2017,04,19,1800000.0,USD,Tara Brach,0,MeetMindful,Denver,United States,Colorado,,2015,1079980,company,MeetMindful,http://www.finsmes.com/2017/04/meetmindful-raises-1-8m-in-seed-funding.html
984.0,equity funding,2017,04,19,1800000.0,USD,Reid Tracy,0,MeetMindful,Denver,United States,Colorado,,2015,1079980,company,MeetMindful,http://www.finsmes.com/2017/04/meetmindful-raises-1-8m-in-seed-funding.html
984.0,equity funding,2017,04,19,1800000.0,USD,Paul Tarell,0,MeetMindful,Denver,United States,Colorado,,2015,1079980,company,MeetMindful,http://www.finsmes.com/2017/04/meetmindful-raises-1-8m-in-seed-funding.html
984.0,equity funding,2017,04,19,1800000.0,USD,Techstars,0,MeetMindful,Denver,United States,Colorado,,2015,1079980,company,MeetMindful,http://www.finsmes.com/2017/04/meetmindful-raises-1-8m-in-seed-funding.html
984.0,equity funding,2017,04,19,1800000.0,USD,Bridge Builders Collaborative,1,MeetMindful,Denver,United States,Colorado,,2015,1079980,company,MeetMindful,http://www.finsmes.com/2017/04/meetmindful-raises-1-8m-in-seed-funding.html
984.0,equity funding,2017,04,19,1800000.0,USD,Nelstone Ventures,0,MeetMindful,Denver,United States,Colorado,,2015,1079980,company,MeetMindful,http://www.finsmes.com/2017/04/meetmindful-raises-1-8m-in-seed-funding.html
985.0,equity funding,2017,04,19,5000000.0,USD,Accomplice,1,"Freebird, Inc.",Cambridge,United States,Massachusetts,,,1080397,company,"Freebird, Inc.",https://www.pehub.com/2017/04/freebird-inks-5-ln/
985.0,equity funding,2017,04,19,5000000.0,USD,General Catalyst Partners,1,"Freebird, Inc.",Cambridge,United States,Massachusetts,,,1080397,company,"Freebird, Inc.",https://www.pehub.com/2017/04/freebird-inks-5-ln/
986.0,equity funding,2017,04,19,2300000.0,USD,Boost Vc,0,Vizor,Helsinki,Finland,Uusimaa,,,New,,,http://www.finsmes.com/2017/04/virtual-reality-software-provider-vizor-raises-2-3m-in-funding.html
986.0,equity funding,2017,04,19,2300000.0,USD,Sisu Game Ventures,0,Vizor,Helsinki,Finland,Uusimaa,,,New,,,http://www.finsmes.com/2017/04/virtual-reality-software-provider-vizor-raises-2-3m-in-funding.html
986.0,equity funding,2017,04,19,2300000.0,USD,Lifeline Ventures,0,Vizor,Helsinki,Finland,Uusimaa,,,New,,,http://www.finsmes.com/2017/04/virtual-reality-software-provider-vizor-raises-2-3m-in-funding.html
986.0,equity funding,2017,04,19,2300000.0,USD,Inventure,1,Vizor,Helsinki,Finland,Uusimaa,,,New,,,http://www.finsmes.com/2017/04/virtual-reality-software-provider-vizor-raises-2-3m-in-funding.html
986.0,equity funding,2017,04,19,2300000.0,USD,The Venture Reality Fund,1,Vizor,Helsinki,Finland,Uusimaa,,,New,,,http://www.finsmes.com/2017/04/virtual-reality-software-provider-vizor-raises-2-3m-in-funding.html
987.0,equity funding,2017,04,19,5000000.0,USD,M3 Ventures,0,Jaanuu,El Segundo,United States,California,,,1080586,company,Jaanuu,https://www.pehub.com/2017/04/medical-apparel-brand-jaanuu-snags-5-mln/
987.0,equity funding,2017,04,19,5000000.0,USD,Potenza Capital,0,Jaanuu,El Segundo,United States,California,,,1080586,company,Jaanuu,https://www.pehub.com/2017/04/medical-apparel-brand-jaanuu-snags-5-mln/
987.0,equity funding,2017,04,19,5000000.0,USD,Bam Ventures,0,Jaanuu,El Segundo,United States,California,,,1080586,company,Jaanuu,https://www.pehub.com/2017/04/medical-apparel-brand-jaanuu-snags-5-mln/
987.0,equity funding,2017,04,19,5000000.0,USD,Innovation Global Capital,0,Jaanuu,El Segundo,United States,California,,,1080586,company,Jaanuu,https://www.pehub.com/2017/04/medical-apparel-brand-jaanuu-snags-5-mln/
987.0,equity funding,2017,04,19,5000000.0,USD,Sipadan Capital,0,Jaanuu,El Segundo,United States,California,,,1080586,company,Jaanuu,https://www.pehub.com/2017/04/medical-apparel-brand-jaanuu-snags-5-mln/
988.0,equity funding,2017,04,19,3300000.0,USD,Accum Kapital,0,Barnebys - All Auctions in one place,Stockholm,Sweden,Stockholm,,2011,1065102,company,Barnebys - All Auctions in one place,http://www.finsmes.com/2017/04/barnebys-closes-3-3m-financing.html
988.0,equity funding,2017,04,19,3300000.0,USD,Industrifonden,0,Barnebys - All Auctions in one place,Stockholm,Sweden,Stockholm,,2011,1065102,company,Barnebys - All Auctions in one place,http://www.finsmes.com/2017/04/barnebys-closes-3-3m-financing.html
988.0,equity funding,2017,04,19,3300000.0,USD,Kichi Invest,1,Barnebys - All Auctions in one place,Stockholm,Sweden,Stockholm,,2011,1065102,company,Barnebys - All Auctions in one place,http://www.finsmes.com/2017/04/barnebys-closes-3-3m-financing.html
988.0,equity funding,2017,04,19,3300000.0,USD,Howsat Venture Partners,1,Barnebys - All Auctions in one place,Stockholm,Sweden,Stockholm,,2011,1065102,company,Barnebys - All Auctions in one place,http://www.finsmes.com/2017/04/barnebys-closes-3-3m-financing.html
989.0,equity funding,2017,04,19,14000000.0,USD,Caffeinated Capital,1,Sapho,San Bruno,United States,California,,2014,20124,company,"Nomis Solutions, Inc.",http://www.finsmes.com/2017/04/sapho-closes-14m-series-b-funding.html
989.0,equity funding,2017,04,19,14000000.0,USD,Ame Cloud Ventures,0,Sapho,San Bruno,United States,California,,2014,20124,company,"Nomis Solutions, Inc.",http://www.finsmes.com/2017/04/sapho-closes-14m-series-b-funding.html
989.0,equity funding,2017,04,19,14000000.0,USD,Softtech Vc,0,Sapho,San Bruno,United States,California,,2014,20124,company,"Nomis Solutions, Inc.",http://www.finsmes.com/2017/04/sapho-closes-14m-series-b-funding.html
989.0,equity funding,2017,04,19,14000000.0,USD,Bloomberg Beta,0,Sapho,San Bruno,United States,California,,2014,20124,company,"Nomis Solutions, Inc.",http://www.finsmes.com/2017/04/sapho-closes-14m-series-b-funding.html
989.0,equity funding,2017,04,19,14000000.0,USD,Morado Venture Partners,0,Sapho,San Bruno,United States,California,,2014,20124,company,"Nomis Solutions, Inc.",http://www.finsmes.com/2017/04/sapho-closes-14m-series-b-funding.html
989.0,equity funding,2017,04,19,14000000.0,USD,Alsop Louie Partners,0,Sapho,San Bruno,United States,California,,2014,20124,company,"Nomis Solutions, Inc.",http://www.finsmes.com/2017/04/sapho-closes-14m-series-b-funding.html
989.0,equity funding,2017,04,19,14000000.0,USD,Felicis Ventures,0,Sapho,San Bruno,United States,California,,2014,20124,company,"Nomis Solutions, Inc.",http://www.finsmes.com/2017/04/sapho-closes-14m-series-b-funding.html
990.0,equity funding,2017,04,19,17600000.0,USD,3D Systems,0,Onkos Surgical,Parsippany,United States,New Jersey,,2015,96740,company,"One Call Care Management, Inc.",http://www.finsmes.com/2017/04/onkos-surgical-closes-17-6m-series-b-funding-round.html
990.0,equity funding,2017,04,19,17600000.0,USD,1315 Capital,0,Onkos Surgical,Parsippany,United States,New Jersey,,2015,96740,company,"One Call Care Management, Inc.",http://www.finsmes.com/2017/04/onkos-surgical-closes-17-6m-series-b-funding-round.html
990.0,equity funding,2017,04,19,17600000.0,USD,Canaan Partners,1,Onkos Surgical,Parsippany,United States,New Jersey,,2015,96740,company,"One Call Care Management, Inc.",http://www.finsmes.com/2017/04/onkos-surgical-closes-17-6m-series-b-funding-round.html
991.0,equity funding,2017,04,19,6250000.0,USD,Malay Gandhi,0,"Solv Health, Inc.",San Francisco,United States,California,,,New,,,http://www.finsmes.com/2017/04/solv-closes-6-25m-series-a-funding.html
991.0,equity funding,2017,04,19,6250000.0,USD,Theresia Gouw,0,"Solv Health, Inc.",San Francisco,United States,California,,,New,,,http://www.finsmes.com/2017/04/solv-closes-6-25m-series-a-funding.html
991.0,equity funding,2017,04,19,6250000.0,USD,Benchmark Capital,1,"Solv Health, Inc.",San Francisco,United States,California,,,New,,,http://www.finsmes.com/2017/04/solv-closes-6-25m-series-a-funding.html
992.0,equity funding,2017,04,18,2000000.0,USD,Ocean Azul Partners,1,DadeSystems,Miami,United States,Florida,,,New,,,http://www.finsmes.com/2017/04/dadesystems-raises-2m-in-funding.html
993.0,equity funding,2017,04,18,12000000.0,USD,Unknown Investor,0,V5 Systems,Fremont,United States,California,,,34396,company,"Penguin Computing, Inc.",http://fortune.com/2017/04/19/term-sheet-wednesday-april-19/#2
994.0,equity funding,2017,04,19,15000000.0,USD,T. Rowe Price,0,CLEAR,New York City,United States,New York,,,New,,,http://fortune.com/2017/04/19/term-sheet-wednesday-april-19/#1
995.0,equity funding,2017,04,18,57000000.0,USD,Technology Crossover Ventures,0,SeatGeek,New York City,United States,New York,,,20550,company,"SeatGeek, Inc.",http://fortune.com/2017/04/18/seatgeek-acquires-ticketing-toptix/
995.0,equity funding,2017,04,18,57000000.0,USD,Mousse Partners,0,SeatGeek,New York City,United States,New York,,,20550,company,"SeatGeek, Inc.",http://fortune.com/2017/04/18/seatgeek-acquires-ticketing-toptix/
995.0,equity funding,2017,04,18,57000000.0,USD,Haystack Partners,0,SeatGeek,New York City,United States,New York,,,20550,company,"SeatGeek, Inc.",http://fortune.com/2017/04/18/seatgeek-acquires-ticketing-toptix/
995.0,equity funding,2017,04,18,57000000.0,USD,Causeway Media Partners,0,SeatGeek,New York City,United States,New York,,,20550,company,"SeatGeek, Inc.",http://fortune.com/2017/04/18/seatgeek-acquires-ticketing-toptix/
995.0,equity funding,2017,04,18,57000000.0,USD,Accel  ,0,SeatGeek,New York City,United States,New York,,,20550,company,"SeatGeek, Inc.",http://fortune.com/2017/04/18/seatgeek-acquires-ticketing-toptix/
995.0,equity funding,2017,04,18,57000000.0,USD,Glynn Capital Management,1,SeatGeek,New York City,United States,New York,,,20550,company,"SeatGeek, Inc.",http://fortune.com/2017/04/18/seatgeek-acquires-ticketing-toptix/
